sync_num,icg_timestamp,ecg_timestamp,time_diff_ms,elapsed_time_s,elapsed_time_min,icg_samples_between,ecg_samples_between,icg_sample_deviation,ecg_sample_deviation,,,,,
212,1761738314.621000,1761738314.618000,3,-19622.2,-327.04,395,397,-5,-3,,,1.001999855,-0.001999855,
213,1761738315.626500,1761738315.620000,6.5,-19621.2,-327.02,394,398,-6,-2,,,0.985000134,0.014999866,
214,1761738316.628000,1761738316.620500,7.5,-19620.2,-327,394,398,-6,-2,,,1.00549984,-0.00549984,
215,1761738317.632500,1761738317.622500,10,-19619.2,-326.99,394,397,-6,-3,,,1.00150013,-0.00150013,
216,1761738318.634500,1761738318.619500,15,-19618.2,-326.97,394,400,-6,0,,,1.004499912,-0.004499912,
217,1761738319.636500,1761738319.622000,14.5,-19617.2,-326.95,396,399,-4,-1,,,1.002000093,-0.002000093,
218,1761738320.629000,1761738320.625000,4,-19616.2,-326.94,395,398,-5,-2,,,1.001999855,-0.001999855,
219,1761738321.632000,1761738321.624500,7.5,-19615.2,-326.92,395,399,-5,-1,,,0.992500067,0.007499933,
220,1761738322.635000,1761738322.625500,9.5,-19614.2,-326.9,395,399,-5,-1,,,1.003000021,-0.003000021,
221,1761738323.644500,1761738323.630000,14.5,-19613.2,-326.89,391,397,-9,-3,,,1.003000021,-0.003000021,
222,1761738324.640500,1761738324.632000,8.5,-19612.2,-326.87,394,398,-6,-2,,,1.009500027,-0.009500027,
223,1761738325.628000,1761738325.629500,1.5,-19611.2,-326.85,392,397,-8,-3,,,0.996000051,0.003999949,
224,1761738326.631000,1761738326.629000,2,-19610.2,-326.84,393,397,-7,-3,,,0.987499952,0.012500048,
225,1761738327.638000,1761738327.631000,7,-19609.2,-326.82,393,398,-7,-2,,,1.003000021,-0.003000021,
226,1761738328.641000,1761738328.631500,9.5,-19608.2,-326.8,392,397,-8,-3,,,1.006999969,-0.006999969,
227,1761738329.644000,1761738329.628500,15.5,-19607.2,-326.79,393,398,-7,-2,,,1.003000021,-0.003000021,
228,1761738330.643500,1761738330.629000,14.5,-19606.2,-326.77,394,400,-6,0,,,1.003000021,-0.003000021,
229,1761738331.631000,1761738331.631500,0.5,-19605.2,-326.75,392,397,-8,-3,,,0.999500036,0.000499964,
230,1761738332.634000,1761738332.631000,3,-19604.2,-326.74,393,398,-7,-2,,,0.987499952,0.012500048,
231,1761738333.639500,1761738333.633000,6.5,-19603.2,-326.72,393,397,-7,-3,,,1.003000021,-0.003000021,
232,1761738334.640500,1761738334.632500,8,-19602.2,-326.7,394,397,-6,-3,,,1.00549984,-0.00549984,
233,1761738335.642500,1761738335.628500,14,-19601.2,-326.69,393,398,-7,-2,,,1.001000166,-0.001000166,
234,1761738336.643000,1761738336.630500,12.5,-19600.2,-326.67,394,400,-6,0,,,1.001999855,-0.001999855,
235,1761738337.630500,1761738337.633000,2.5,-19599.2,-326.65,393,397,-7,-3,,,1.000499964,-0.000499964,
236,1761738338.636000,1761738338.632500,3.5,-19598.2,-326.64,395,397,-5,-3,,,0.987500191,0.012499809,
237,1761738339.639000,1761738339.633000,6,-19597.2,-326.62,393,397,-7,-3,,,1.00549984,-0.00549984,
