sync_num,icg_timestamp,ecg_timestamp,time_diff_ms,elapsed_time_s,elapsed_time_min,icg_samples_between,ecg_samples_between,icg_sample_deviation,ecg_sample_deviation,,,
1702,1761653577,1761653577,9,-18119.7,-301.99,393,400,-7,0,,,
1742,1761653617,1761653617,11.5,-18079.7,-301.33,393,399,-7,-1,,,
1743,1761653618,1761653618,4,-18078.7,-301.31,393,399,-7,-1,,,
1764,1761653639,1761653639,9.5,-18057.6,-300.96,393,401,-7,1,,,
1775,1761653650,1761653650,6.5,-18046.6,-300.78,393,398,-7,-2,,,
1778,1761653653,1761653653,8,-18043.6,-300.73,393,397,-7,-3,,,
1794,1761653669,1761653669,9.5,-18027.6,-300.46,393,400,-7,0,,,
1802,1761653677,1761653677,14,-18019.6,-300.33,393,400,-7,0,,,
1805,1761653680,1761653680,4,-18016.6,-300.28,393,399,-7,-1,,,
1806,1761653681,1761653681,4,-18015.6,-300.26,393,398,-7,-2,,,
1813,1761653688,1761653688,1.5,-18008.6,-300.14,393,396,-7,-4,,,
1815,1761653690,1761653690,10,-18006.6,-300.11,393,400,-7,0,,,
1817,1761653692,1761653692,4.5,-18004.6,-300.08,393,400,-7,0,,,
1821,1761653696,1761653696,4,-18000.6,-300.01,393,400,-7,0,,,
1823,1761653698,1761653698,2,-17998.6,-299.98,393,400,-7,0,,,
1847,1761653722,1761653722,6.5,-17974.6,-299.58,393,400,-7,0,,,
1870,1761653745,1761653745,9,-17951.6,-299.19,393,400,-7,0,,,
1880,1761653755,1761653755,3.5,-17941.6,-299.03,393,400,-7,0,,,
1882,1761653757,1761653757,7,-17939.6,-298.99,393,399,-7,-1,,,
1883,1761653758,1761653758,5.5,-17938.6,-298.98,393,399,-7,-1,,,
1884,1761653759,1761653759,6.5,-17937.6,-298.96,393,400,-7,0,,,
1903,1761653778,1761653778,6.5,-17918.6,-298.64,393,399,-7,-1,,,
1941,1761653816,1761653816,8,-17880.6,-298.01,393,399,-7,-1,,,
1951,1761653826,1761653826,8.5,-17870.6,-297.84,393,400,-7,0,,,
1983,1761653858,1761653858,9,-17838.6,-297.31,393,400,-7,0,,,
2009,1761653884,1761653884,3,-17812.6,-296.88,393,399,-7,-1,,,
2026,1761653901,1761653901,10,-17795.5,-296.59,393,399,-7,-1,,,
2029,1761653904,1761653904,4.5,-17792.6,-296.54,393,401,-7,1,,,
2037,1761653912,1761653912,1.5,-17784.5,-296.41,393,399,-7,-1,,,
2040,1761653915,1761653915,11.5,-17781.5,-296.36,393,399,-7,-1,,,
2073,1761653948,1761653948,5.5,-17748.5,-295.81,393,400,-7,0,,,
2113,1761653988,1761653988,9,-17708.5,-295.14,393,399,-7,-1,,,
2134,1761654009,1761654009,7,-17687.5,-294.79,393,400,-7,0,,,
2151,1761654026,1761654026,9.5,-17670.5,-294.51,393,398,-7,-2,,,
2154,1761654029,1761654029,2,-17667.5,-294.46,393,399,-7,-1,,,
2179,1761654054,1761654054,4,-17642.5,-294.04,393,400,-7,0,,,
2182,1761654057,1761654057,9.5,-17639.5,-293.99,393,399,-7,-1,,,
2189,1761654064,1761654064,13.5,-17632.5,-293.87,393,401,-7,1,,,
2196,1761654071,1761654071,5.5,-17625.5,-293.76,393,399,-7,-1,,,
2227,1761654102,1761654102,5,-17594.5,-293.24,393,400,-7,0,,,
2245,1761654120,1761654120,5.5,-17576.5,-292.94,393,399,-7,-1,,,
2247,1761654122,1761654122,2.5,-17574.5,-292.91,393,400,-7,0,,,
2254,1761654129,1761654129,2.5,-17567.5,-292.79,393,400,-7,0,,,
2261,1761654136,1761654136,7,-17560.5,-292.67,393,400,-7,0,,,
