sync_num,icg_timestamp,ecg_timestamp,time_diff_ms,elapsed_time_s,elapsed_time_min,icg_samples_between,ecg_samples_between,icg_sample_deviation,ecg_sample_deviation
187,1761643820.413500,1761643820.405000,8.500,-19621.3,-327.02,390,400,-10,+0
188,1761643821.416500,1761643821.407000,9.500,-19620.2,-327.00,392,400,-8,+0
189,1761643822.415000,1761643822.407500,7.500,-19619.3,-326.99,392,400,-8,+0
190,1761643823.418000,1761643823.408500,9.500,-19618.2,-326.97,393,400,-7,+0
191,1761643824.417500,1761643824.410500,7.000,-19617.2,-326.95,392,400,-8,+0
192,1761643825.411000,1761643825.410000,1.000,-19616.3,-326.94,391,400,-9,+0
193,1761643826.416500,1761643826.412000,4.500,-19615.2,-326.92,392,399,-8,-1
194,1761643827.413500,1761643827.409000,4.500,-19614.3,-326.90,391,400,-9,+0
195,1761643828.418000,1761643828.409500,8.500,-19613.2,-326.89,391,399,-9,-1
196,1761643829.412500,1761643829.410500,2.000,-19612.3,-326.87,390,401,-10,+1
197,1761643830.418000,1761643830.412500,5.500,-19611.2,-326.85,392,399,-8,-1
198,1761643831.415000,1761643831.412000,3.000,-19610.3,-326.84,392,399,-8,-1
199,1761643832.422000,1761643832.412500,9.500,-19609.2,-326.82,391,400,-9,+0
200,1761643833.417500,1761643833.413000,4.500,-19608.2,-326.80,390,399,-10,-1
201,1761643834.420500,1761643834.415000,5.500,-19607.2,-326.79,391,400,-9,+0
202,1761643835.417500,1761643835.414500,3.000,-19606.2,-326.77,391,398,-9,-2
203,1761643836.423000,1761643836.417500,5.500,-19605.2,-326.75,391,398,-9,-2
204,1761643837.417500,1761643837.413500,4.000,-19604.2,-326.74,391,397,-9,-3
205,1761643838.423000,1761643838.416500,6.500,-19603.2,-326.72,391,398,-9,-2
206,1761643839.418500,1761643839.418500,0.000,-19602.2,-326.70,393,397,-7,-3
207,1761643840.424000,1761643840.415500,8.500,-19601.2,-326.69,391,401,-9,+1
208,1761643841.421000,1761643841.420000,1.000,-19600.2,-326.67,391,399,-9,-1
209,1761643842.422500,1761643842.418000,4.500,-19599.2,-326.65,394,399,-6,-1
210,1761643843.421000,1761643843.416000,5.000,-19598.2,-326.64,392,399,-8,-1
211,1761643844.425000,1761643844.416500,8.500,-19597.2,-326.62,392,399,-8,-1
212,1761643845.420500,1761643845.417000,3.500,-19596.2,-326.60,391,400,-9,+0
213,1761643846.427000,1761643846.417000,10.000,-19595.2,-326.59,390,400,-10,+0
214,1761643847.421500,1761643847.420000,1.500,-19594.2,-326.57,390,399,-10,-1
215,1761643848.427000,1761643848.415500,11.500,-19593.2,-326.55,391,400,-9,+0
216,1761643849.422500,1761643849.420000,2.500,-19592.2,-326.54,392,398,-8,-2
217,1761643850.429000,1761643850.419000,10.000,-19591.2,-326.52,391,400,-9,+0
218,1761643851.425000,1761643851.420000,5.000,-19590.2,-326.50,391,400,-9,+0
219,1761643852.430500,1761643852.420500,10.000,-19589.2,-326.49,389,400,-11,+0
220,1761643853.425000,1761643853.421500,3.500,-19588.2,-326.47,391,400,-9,+0
221,1761643854.430500,1761643854.421500,9.000,-19587.2,-326.45,391,399,-9,-1
222,1761643855.426000,1761643855.421000,5.000,-19586.2,-326.44,395,400,-5,+0
223,1761643856.428000,1761643856.420500,7.500,-19585.2,-326.42,395,399,-5,-1
224,1761643857.426500,1761643857.421500,5.000,-19584.2,-326.40,395,400,-5,+0
225,1761643858.428500,1761643858.421000,7.500,-19583.2,-326.39,396,399,-4,-1
226,1761643859.427000,1761643859.422000,5.000,-19582.2,-326.37,395,401,-5,+1
227,1761643860.427500,1761643860.425000,2.500,-19581.2,-326.35,395,399,-5,-1
228,1761643861.428500,1761643861.424500,4.000,-19580.2,-326.34,392,399,-8,-1
229,1761643862.431500,1761643862.425000,6.500,-19579.2,-326.32,393,398,-7,-2
230,1761643863.428500,1761643863.423500,5.000,-19578.2,-326.30,391,400,-9,+0
231,1761643864.434000,1761643864.423000,11.000,-19577.2,-326.29,391,400,-9,+0
232,1761643865.428500,1761643865.423500,5.000,-19576.2,-326.27,390,401,-10,+1
233,1761643866.434000,1761643866.426000,8.000,-19575.2,-326.25,392,399,-8,-1
234,1761643867.432000,1761643867.426500,5.500,-19574.2,-326.24,394,400,-6,+0
235,1761643868.434000,1761643868.424500,9.500,-19573.2,-326.22,393,399,-7,-1
236,1761643869.429500,1761643869.425000,4.500,-19572.2,-326.20,393,401,-7,+1
237,1761643870.437500,1761643870.427000,10.500,-19571.2,-326.19,394,400,-6,+0
238,1761643871.433500,1761643871.426500,7.000,-19570.2,-326.17,392,398,-8,-2
239,1761643872.437500,1761643872.427000,10.500,-19569.2,-326.15,392,400,-8,+0
240,1761643873.434500,1761643873.430000,4.500,-19568.2,-326.14,392,398,-8,-2
241,1761643874.437500,1761643874.427000,10.500,-19567.2,-326.12,392,401,-8,+1
242,1761643875.434000,1761643875.433500,0.500,-19566.2,-326.10,391,399,-9,-1
243,1761643876.442500,1761643876.429500,13.000,-19565.2,-326.09,390,398,-10,-2
244,1761643877.437000,1761643877.431000,6.000,-19564.2,-326.07,390,398,-10,-2
245,1761643878.443500,1761643878.431500,12.000,-19563.2,-326.05,391,400,-9,+0
246,1761643879.438000,1761643879.429500,8.500,-19562.2,-326.04,393,399,-7,-1
247,1761643880.443500,1761643880.431500,12.000,-19561.2,-326.02,391,399,-9,-1
248,1761643881.435500,1761643881.432000,3.500,-19560.2,-326.00,390,400,-10,+0
249,1761643882.440000,1761643882.433000,7.000,-19559.2,-325.99,393,399,-7,-1
250,1761643883.439500,1761643883.432500,7.000,-19558.2,-325.97,392,400,-8,+0
